x,y,depth
5e5,316617.7474602994,100
509979.6399432561,316618.1382713311,100
519959.3044407468,316619.31070926937,100
529939.018047006,316621.2647886444,100
539918.8053171815,316624.0005336738,100
549898.6908073196,316627.5179782628,100
559878.6990746795,316631.81716600596,100
569858.8546780328,316636.89815018803,100
579839.1821779663,316642.76099378587,100
589819.7061371843,316649.40576947026,-2
599800.4511208087,316656.8325596077,-4.864745140075684
609781.4416966932,316665.04145626375,-92.89976501464844
619762.7024357088,316674.03256120515,-286.1074523925781
629744.2579120586,316683.8059859031,-504.5496826171875
639726.1327035776,316694.36185153667,-919.8193359375
649708.3513920333,316705.70028899657,-1679.9505615234375
659690.9385634427,316717.82143888914,-1684.3541259765625
669673.9188083453,316730.72545154014,-1929.5567626953125
679657.3167221458,316744.41248700005,-2099.5625
689641.1569053865,316758.8827150484,-2838.944580078125
699625.4639640625,316774.1363151992,-3025.2451171875
709610.2625099383,316790.17347670643,-3827.35107421875
719595.5771608185,316806.99439856946,-3848.87255859375
729581.4325408937,316824.5992895394,-3753.401123046875
739567.8532810134,316842.98836812546,-4010.067138671875
749554.8640190045,316862.1618626014,-4029.85791015625
759542.4893999738,316882.12001101277,-4010.3232421875
769530.7540766108,316902.8630611838,-4165.90576171875
779519.682709503,316924.3912707252,-4180.1396484375
789509.2999674268,316946.7049070419,-4304.97705078125
799499.6305276623,316969.8042473414,-4395.65869140625
809490.6990762986,316993.6895786418,-4406.255859375
819482.5303085363,317018.36119778093,-4413.08837890625
829475.1489290083,317043.81941142527,-4397.94921875
839468.5796520568,317070.0645360793,-4711.806640625
849462.8472020787,317097.0968980951,-4687.43798828125
859457.9763138031,317124.9168336824,-4935.6982421875
869453.9917326104,317153.52468891884,-5190.69287109375
879450.9182148511,317182.9208197604,-4740.25
889448.7805281242,317213.1055920525,-4954.29443359375
899447.603451625,317244.079381541,-4992.99755859375
909447.4117764237,317275.84257388365,-5065.48046875
919448.2303057886,317308.395564662,-5102.9091796875
929450.0838554943,317341.7387593935,-4988.65380859375
939452.9972541272,317375.8725735439,-5131.0009765625
949456.9953434109,317410.79743254,-5191.2001953125
959462.102978496,317446.51377178216,-5127.40576171875
969468.345028287,317483.0220366588,-5275.4921875
979475.7463757489,317520.3226825587,-5168.54296875
989484.3319182207,317558.41617488593,-4938.26220703125
