bin,species_code,source,sex,mortality
14,YFT,obj_class_1_5,male,0
14,YFT,noa_class_1_5,female,2.031407118792698e-4
14,YFT,noa_class_1_5,male,2.209255843138791e-4
14,YFT,obj_class_6,female,0
14,YFT,obj_class_6,male,0
14,YFT,noa_class_6,female,1.8942278789687837e-4
14,YFT,noa_class_6,male,2.0600666262975912e-4
14,YFT,del_class_6,female,0.017388299932506696
14,YFT,del_class_6,male,0.01891063729803758
14,YFT,longline,female,0.004716241801937618
14,YFT,longline,male,0.005129146522228656
15,YFT,obj_class_1_5,female,0
15,YFT,obj_class_1_5,male,0
15,YFT,noa_class_1_5,female,1.892288080347523e-4
15,YFT,noa_class_1_5,male,2.0663255833285946e-4
15,YFT,obj_class_6,female,0
15,YFT,obj_class_6,male,0
15,YFT,noa_class_6,female,1.8750401239765206e-4
15,YFT,noa_class_6,male,2.0474912980632175e-4
15,YFT,del_class_6,female,0.017788992925928206
15,YFT,del_class_6,male,0.019425082029659126
15,YFT,longline,female,0.004835704404027846
15,YFT,longline,male,0.005280453767706666
16,YFT,obj_class_1_5,female,0
16,YFT,obj_class_1_5,male,0
16,YFT,noa_class_1_5,female,1.7572852662574935e-4
16,YFT,noa_class_1_5,male,1.9233953235183067e-4
16,YFT,obj_class_6,female,0
16,YFT,obj_class_6,male,0
16,YFT,noa_class_6,female,3.612243837797275e-4
16,YFT,noa_class_6,male,3.953696669763717e-4
16,YFT,del_class_6,female,0.006021587649710231
16,YFT,del_class_6,male,0.006590787362756597
16,YFT,longline,female,0.004962658212582717
16,YFT,longline,male,0.005431761013184683
17,YFT,obj_class_1_5,female,0
17,YFT,obj_class_1_5,male,0
17,YFT,noa_class_1_5,female,1.6244588877794224e-4
17,YFT,noa_class_1_5,male,1.78046506370811e-4
17,YFT,obj_class_6,female,0
17,YFT,obj_class_6,male,0
17,YFT,noa_class_6,female,5.635754898503947e-4
17,YFT,noa_class_6,male,6.176989014554013e-4
17,YFT,del_class_6,female,0.01738426184161653
17,YFT,del_class_6,male,0.019053772982622307
17,YFT,longline,female,0.005093874088703063
17,YFT,longline,male,0.00558306825866269
