"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
122.5,165821.88,1260481.6,1172134.5,1640844.0,85691.43,591226.75,997075.56,590312.8,105.06512,0.0
122.75,163814.36,1148315.8,1145419.1,1621022.1,82770.06,530507.6,943518.5,569317.25,106.68634,0.0
123.0,171857.31,486307.34,1200104.1,1541174.2,84171.9,451031.28,959422.56,615911.0,104.81581,0.0
123.25,155129.11,452024.34,1325926.5,1558610.4,83521.35,467381.25,928743.75,560549.3,103.097404,0.0
123.5,135265.19,1141625.4,1324254.9,1644916.1,81726.81,565180.75,882318.1,522890.4,101.884224,0.0
123.75,126459.57,1148781.1,1274135.4,1557267.2,79075.56,462252.53,866245.25,505500.1,102.4144,0.0
124.0,129367.75,587748.8,1254771.0,1474547.6,79475.54,363230.53,926846.06,525897.75,100.31907,0.0
124.25,115378.68,482974.72,1313464.1,1521391.8,84935.125,435811.4,876498.6,468327.5,98.964806,0.0
124.5,98734.76,1139136.0,1402478.8,1653330.4,101810.7,587563.4,866909.0,453318.9,100.344154,0.0
124.75,111219.016,1030537.2,1394985.5,1622249.2,105132.72,552243.56,828714.3,455306.22,101.08543,0.0
125.0,124417.46,460397.28,1400936.9,1535317.9,98190.11,493432.1,884171.44,476483.22,101.0919,0.0
125.25,102554.484,473372.62,1467766.2,1651373.6,98122.44,554050.9,883477.9,410645.28,99.89681,0.0
125.5,80279.85,1117419.0,1451472.6,1745165.2,102854.59,724258.56,888759.9,371835.5,99.53578,0.0
125.75,82663.14,1065349.6,1380382.8,1732669.9,98775.055,622882.25,821468.25,333306.66,99.20222,0.0
126.0,85396.95,521822.8,1388094.2,1683978.0,98548.17,509610.3,868553.94,335721.94,97.997734,0.0
126.25,72831.67,524796.6,1474544.5,1687689.4,92910.336,615911.7,866023.3,323257.47,96.70877,0.0
126.5,64411.465,1174055.0,1517006.4,1616203.8,87789.984,755813.2,857711.44,332590.06,98.27898,0.0
126.75,79302.53,1131507.8,1477468.6,1481061.9,82027.234,663024.75,815056.44,318259.72,96.828415,0.0
127.0,87083.805,519138.56,1475907.8,1357689.2,82569.016,586338.56,857116.44,329341.78,94.474945,0.0
127.25,74046.164,438501.84,1525195.2,1443122.4,76715.81,653566.8,876234.3,316046.56,93.373634,0.0
127.5,63719.605,1025329.1,1531540.6,1556216.5,73168.93,810612.8,870999.94,388360.56,95.11533,0.0
127.75,92826.695,967236.4,1450882.8,1514397.1,67996.21,690355.44,839369.7,409711.94,95.71477,0.0
128.0,125072.445,469797.9,1467058.4,1452608.5,63542.344,572020.0,914429.7,456913.38,95.540054,0.0
128.25,128283.59,515920.6,1529092.8,1508568.1,65335.316,681428.4,890256.5,425452.8,94.73977,0.0
128.5,108085.25,1117808.6,1479661.5,1517388.2,71516.88,869069.44,836671.0,370441.56,94.44838,0.0
128.75,107892.664,1030894.0,1356063.1,1473424.9,74913.99,735278.0,808239.5,327085.38,94.94034,0.0
129.0,128791.59,433116.16,1315697.2,1453714.5,74094.33,601698.25,878916.75,315894.9,95.377716,0.0
129.25,117976.29,470763.66,1345116.9,1615576.6,71495.99,628032.1,920334.3,304704.1,95.95528,0.0
129.5,101402.19,1100951.9,1310004.5,1736274.6,66143.17,750814.9,881576.44,303490.88,96.99482,0.0
129.75,136361.75,1009280.44,1206926.4,1720600.2,63061.035,602829.5,853794.5,315032.97,97.45503,0.0
130.0,160187.9,478265.28,1182223.0,1696149.8,66686.44,477410.6,913218.2,341005.53,96.61985,0.0
130.25,154775.67,439408.8,1264821.4,1790452.1,69595.79,544900.7,927228.7,323481.75,95.77312,0.0
130.5,131582.86,965407.5,1317751.5,1848225.9,78197.9,681385.56,904900.9,340600.72,95.61878,0.0
130.75,115965.164,913031.3,1260203.1,1744481.9,80502.23,609585.5,878062.06,359286.3,96.2347,0.0
