day,x,y
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-1.5
411,-112.5,-0.5
411,-113.5,-0.5
411,-113.5,-1.5
411,-113.5,-1.5
411,-113.5,-1.5
411,-113.5,-1.5
411,-113.5,-1.5
411,-114.5,-1.5
411,-114.5,-1.5
411,-114.5,-1.5
411,-114.5,-1.5
411,-114.5,-1.5
411,-114.5,-1.5
411,-115.5,-1.5
411,-115.5,-1.5
413,-118.5,-2.5
413,-118.5,-2.5
413,-119.5,-1.5
413,-119.5,-1.5
413,-119.5,-1.5
413,-119.5,-1.5
413,-122.5,-0.5
