bet,skj,yft
0,2,0
0,0,0
0,0,0
0,0,0
0,10,0
0,0,0
0,0,0
0,20,0
0,44,0
0,13,0
0,5,0
0,50,0
0,10,0
0,0,0
0,0,0
0,63,0
0,0,0
0,2,0
0,0,0
0,10,0
0,3,0
0,6,0
0,2,0
0,15,0
0,38,0
0,35,3
0,15,0
0,0,0
0,37,0
0,21,0
0,49.3,45
0,0,0
0,60,0
0,0,0
0,25,0
0,3,0
0,0,0
0,12,0
0,15,0
0,65,0
0,35,0
0,5,0
0,4,0
0,15,0
0,0,0
0,10,0
0,0,0
0,0,0
0,0,0
0,6,0
0,117,3
0,33,2
0,105,0
0,30,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0.1,0
0,2,0
0,3,0
0,26,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.01,0
0,0.01,0
0,19,0
0,0,3
0,0,0
0,0,20
0,0,8
0,0,0
0,0,0
0,13,0
0,0,0
0,0,0
0,0,0
0,8,0
0,0,0
0,20,0
0,15,0
0,21,0
0,10,0
0,0,0
0,25,0
0,127,0
0,15,0
0,80,0
0,112.4,0
0,24,0
0,41,0
0,33,0
0,20,0
0,23,0
0,25,0
0,29,0
0,0,0
0,42,0
0,20,0
0,40,0
0,76,0
0,0.01,0
0,7,0
0,23,0
0,0.01,0
0,5,0
0,7,0
0,18,0
0,2,0
0,3,0
0,2,0
0,2,0
0,0.01,0
0,0.01,0
0,8,0
0,6,0
0,0.01,0
0,19,0
0,6,0
0,51,0
0,0.01,0
0,3,0
0,7,0
0,11,0
0,32,0
0,23,0
0,0,0
0,10,0
0,0,0
0,0,0
0,35,0
0,30,0
0,25,0
0,8,0
0,128,0
0,0,0
0,0,20
0,22,0
0,12,0
0,3,0
0,0,0
0,0.01,0
0,12,0
0,2,0
0,0,0
0,6,0
0,0,0
0,32,0
0,1,0
0,2,0
0,0,0
0,8,0
0,0,0
0,0,0
0,46,0
0,1,0
0,0,0
0,24,0
0,6,0
0,3,0
0,7,0
0,10,0
0,0,0
0,0,0
0,25,0
0,14,0
0,7,0
0,8,0
0,20,0
0,12,0
0,6,0
0,14,0
0,4,0
0,40,0
0,0,0
0,58,0
0,5,0
0,0,0
0,13,0
0,3,0
0,10,0
0,3,0
0,5,0
0,14,0
0,1,0
0,0,0
0,10,0
0,2,0
0,2,0
0,0,0
0,5,0
0,3,0
0,6,0
0,4,0
0,10,0
0,1,0
0,0,0
0,4,0
0,4,0
0,1,6
0,25,0
0,15,0
0,8,0
0,45,0
0,0,0
0,7,0
0,50,0
0,12,0
0,25,0
0,105,0
0,0,0
0,48,0
0,108,0
0,20,0
0,0,0
0,0,0
0,0,0
0,0,22
0,20,0
0,35,0
0,2,0
0,35,0
0,17,0
0,52,0
0,35,0
0,0,0
0,0,0
0,57,0
0,0,0
0,7,0
0,10,0
0,15,0
0,0,0
0,12,0
0,30,5
0,10,0
0,10,0
0,0,0
0,0,0
0,51,0
0,29,0
0,17,0
0,27,0
0,9,0
0,18,0
0,21,0
0,16,0
0,102,0
0,28,0
